review,category,rating,account_age_days,verified_purchase,helpful_votes,sentiment,label
"This product is amazing and works perfectly",Electronics,5,400,Yes,25,positive,real
"Worst product waste of money",Electronics,1,350,Yes,12,negative,real
"Buy now best product guaranteed",Beauty,5,2,No,0,positive,fake
"Amazing amazing five stars buy now",Fashion,5,1,No,0,positive,fake
"Average product works okay",Home,3,250,Yes,3,neutral,real
"Limited stock order immediately",Electronics,5,5,No,0,positive,fake
"Very useful and durable product",Kitchen,4,500,Yes,18,positive,real
"Terrible quality not recommended",Fashion,1,600,Yes,9,negative,real
"Excellent mobile phone with great battery",Mobile Phones,5,700,Yes,40,positive,real
"Best gaming laptop buy immediately",Gaming,5,3,No,0,positive,fake
"Good book for learning python",Books,4,900,Yes,15,positive,real
"Cheap fake jewelry do not buy",Jewelry,1,500,Yes,8,negative,real
"Top trending sports shoes buy now",Sports,5,4,No,0,positive,fake
"Healthy and useful fitness product",Fitness,4,450,Yes,12,positive,real
"Excellent gaming laptop performance",Gaming,5,500,Yes,40,positive,real
"Best gaming setup buy now",Gaming,5,2,No,0,positive,fake
"Very useful sports shoes",Sports,4,300,Yes,15,positive,real
"Top sports item limited stock",Sports,5,1,No,0,positive,fake
"Good pet food quality",Pet Supplies,4,600,Yes,20,positive,real
"Best pet product order now",Pet Supplies,5,3,No,0,positive,fake
review,category,rating,account_age_days,verified_purchase,helpful_votes,sentiment,label
"This mobile phone has excellent battery life",Mobile Phones,5,560,Yes,34,positive,real
"Best phone ever buy immediately",Mobile Phones,5,3,No,0,positive,fake
"Camera quality is impressive and sharp",Mobile Phones,4,430,Yes,20,positive,real
"Limited stock hurry and buy now",Mobile Phones,5,1,No,0,positive,fake
"Very smooth performance and good display",Electronics,5,700,Yes,45,positive,real
"Waste of money totally useless",Electronics,1,480,Yes,8,negative,real
"Top quality product guaranteed",Electronics,5,2,No,0,positive,fake
"Excellent sound quality and bass",Electronics,4,620,Yes,19,positive,real
"This laptop handles gaming perfectly",Laptops,5,900,Yes,50,positive,real
"Cheap laptop broke within days",Laptops,1,350,Yes,7,negative,real
"Buy this amazing gaming laptop now",Laptops,5,4,No,0,positive,fake
"Keyboard and display quality are great",Laptops,4,520,Yes,18,positive,real
"Very comfortable sports shoes",Sports,4,650,Yes,22,positive,real
"Best sports item available online",Sports,5,2,No,0,positive,fake
"Good grip and lightweight design",Sports,5,730,Yes,25,positive,real
"Poor stitching and bad material",Sports,1,500,Yes,6,negative,real
"This gaming mouse is very responsive",Gaming,5,450,Yes,30,positive,real
"Ultimate gaming product buy now",Gaming,5,1,No,0,positive,fake
"RGB lighting looks fantastic",Gaming,4,370,Yes,14,positive,real
"Stopped working after one week",Gaming,1,280,Yes,5,negative,real
"Very stylish and comfortable dress",Fashion,5,580,Yes,17,positive,real
"Cheap quality cloth not recommended",Fashion,1,400,Yes,6,negative,real
"Trending fashion product buy today",Fashion,5,2,No,0,positive,fake
"Fabric quality feels premium",Fashion,4,690,Yes,21,positive,real
"This lipstick lasts all day long",Beauty,5,740,Yes,28,positive,real
"Skin irritation after using this",Beauty,1,420,Yes,5,negative,real
"Best beauty product ever buy now",Beauty,5,1,No,0,positive,fake
"Very smooth texture and fragrance",Beauty,4,560,Yes,16,positive,real
"Kitchen blender works efficiently",Kitchen,5,810,Yes,32,positive,real
"Motor stopped after few uses",Kitchen,1,350,Yes,4,negative,real
"Top kitchen product limited offer",Kitchen,5,2,No,0,positive,fake
"Easy to clean and powerful machine",Kitchen,4,640,Yes,18,positive,real
"This sofa is very comfortable",Furniture,5,1000,Yes,38,positive,real
"Wood quality is terrible",Furniture,1,530,Yes,6,negative,real
"Luxury furniture at lowest price",Furniture,5,1,No,0,positive,fake
"Elegant design and strong build",Furniture,4,700,Yes,19,positive,real
"Very useful python programming book",Books,5,870,Yes,27,positive,real
"Pages quality is poor",Books,2,450,Yes,4,negative,real
"Best book available order now",Books,5,3,No,0,positive,fake
"Concepts explained very clearly",Books,4,660,Yes,14,positive,real
"Healthy protein supplement works well",Health,5,620,Yes,31,positive,real
"Caused stomach pain after use",Health,1,310,Yes,5,negative,real
"Miracle health product buy now",Health,5,2,No,0,positive,fake
"Improved my fitness significantly",Health,4,580,Yes,16,positive,real
"Excellent treadmill for workouts",Fitness,5,760,Yes,33,positive,real
"Machine stopped suddenly",Fitness,1,420,Yes,6,negative,real
"Top fitness product order today",Fitness,5,2,No,0,positive,fake
"Strong frame and smooth running",Fitness,4,680,Yes,17,positive,real
"This car vacuum cleaner is useful",Automobile,5,830,Yes,29,positive,real
